X931_R_466_1dqx_ident,X932_R_466_1dqx_score,X743_R_372_1mhw_ident,X744_R_372_1mhw_score,X207_R_104_1gny_ident,X208_R_104_1gny_score,X815_R_408_1tkb_ident,X816_R_408_1tkb_score,X557_R_279_1dzk_ident,X558_R_279_1dzk_score,X149_R_75_1pdz_ident,X150_R_75_1pdz_score,X417_R_209_2h6b_ident,X418_R_209_2h6b_score,X777_R_389_1yqy_ident,X778_R_389_1yqy_score,X327_R_164_1h1p_ident,X328_R_164_1h1p_score,X39_R_20_1m0o_ident,X40_R_20_1m0o_score,X623_R_312_1dl7_ident,X624_R_312_1dl7_score,X765_R_383_2mas_ident,X766_R_383_2mas_score,X613_R_307_1jqe_ident,X614_R_307_1jqe_score,X935_R_468_1lor_ident,X936_R_468_1lor_score,X209_R_105_1m2x_ident,X210_R_105_1m2x_score,X789_R_395_1rd4_ident,X790_R_395_1rd4_score,X795_R_398_1njs_ident,X796_R_398_1njs_score,X759_R_380_2ccb_ident,X760_R_380_2ccb_score,X47_R_24_1gyx_ident,X48_R_24_1gyx_score,X55_R_28_1o8b_ident,X56_R_28_1o8b_score,X189_R_95_1awi_ident,X190_R_95_1awi_score,X453_R_227_1kc7_ident,X454_R_227_1kc7_score,X3_R_2_1wkm_ident,X4_R_2_1wkm_score,X283_R_142_2ca8_ident,X284_R_142_2ca8_score,X669_R_335_1rdt_ident,X670_R_335_1rdt_score,X899_R_450_2bys_ident,X900_R_450_2bys_score,X435_R_218_1abf_ident,X436_R_218_1abf_score,X517_R_259_1u1w_ident,X518_R_259_1u1w_score,X159_R_80_2am4_ident,X160_R_80_2am4_score,X105_R_53_1jlr_ident,X106_R_53_1jlr_score,X901_R_451_2gvj_ident,X902_R_451_2gvj_score,X821_R_411_1yqj_ident,X822_R_411_1yqj_score,X539_R_270_1ssq_ident,X540_R_270_1ssq_score,X685_R_343_1os5_ident,X686_R_343_1os5_score,X783_R_392_1uou_ident,X784_R_392_1uou_score,X111_R_56_1ikt_ident,X112_R_56_1ikt_score,X855_R_428_1t31_ident,X856_R_428_1t31_score,X477_R_239_1n5r_ident,X478_R_239_1n5r_score,X467_R_234_1mfi_ident,X468_R_234_1mfi_score,X659_R_330_1mai_ident,X660_R_330_1mai_score,X123_R_62_1moq_ident,X124_R_62_1moq_score,X605_R_303_1yvm_ident,X606_R_303_1yvm_score,X865_R_433_2pcp_ident,X866_R_433_2pcp_score,X65_R_33_1ugp_ident,X66_R_33_1ugp_score,X153_R_77_2bjm_ident,X154_R_77_2bjm_score,X427_R_214_2c1p_ident,X428_R_214_2c1p_score,X433_R_217_2j47_ident,X434_R_217_2j47_score,X219_R_110_1t5f_ident,X220_R_110_1t5f_score,X883_R_442_1pbk_ident,X884_R_442_1pbk_score,X303_R_152_1aid_ident,X304_R_152_1aid_score,X667_R_334_1qy5_ident,X668_R_334_1qy5_score,X317_R_159_2ypi_ident,X318_R_159_2ypi_score,X333_R_167_4ts1_ident,X334_R_167_4ts1_score,X603_R_302_1igb_ident,X604_R_302_1igb_score,X787_R_394_1qiw_ident,X788_R_394_1qiw_score,X741_R_371_2gv6_ident,X742_R_371_2gv6_score,X155_R_78_2bmz_ident,X156_R_78_2bmz_score,X847_R_424_2byr_ident,X848_R_424_2byr_score,X543_R_272_2bvd_ident,X544_R_272_2bvd_score,X867_R_434_1mjj_ident,X868_R_434_1mjj_score,X449_R_225_1tys_ident,X450_R_225_1tys_score,X549_R_275_1t7d_ident,X550_R_275_1t7d_score,X529_R_265_1ndv_ident,X530_R_265_1ndv_score,X595_R_298_1i00_ident,X596_R_298_1i00_score,X807_R_404_1dqn_ident,X808_R_404_1dqn_score,X649_R_325_1ii5_ident,X650_R_325_1ii5_score,X731_R_366_1hii_ident,X732_R_366_1hii_score,X113_R_57_1jt1_ident,X114_R_57_1jt1_score,X201_R_101_1odj_ident,X202_R_101_1odj_score,X169_R_85_2gvv_ident,X170_R_85_2gvv_score,X355_R_178_1m48_ident,X356_R_178_1m48_score,X721_R_361_1me8_ident,X722_R_361_1me8_score,X383_R_192_1kll_ident,X384_R_192_1kll_score,X879_R_440_1y0l_ident,X880_R_440_1y0l_score,X21_R_11_1f2o_ident,X22_R_11_1f2o_score,X915_R_458_1igj_ident,X916_R_458_1igj_score,X437_R_219_1h9z_ident,X438_R_219_1h9z_score,X725_R_363_1g2l_ident,X726_R_363_1g2l_score,X887_R_444_1mh5_ident,X888_R_444_1mh5_score,X157_R_79_1grp_ident,X158_R_79_1grp_score
27.78,0.02,27.27,0.02,0,0,0,0,36.36,0.02,0,0,27.27,0.01,40,0.02,29.41,0.06,0,0,33.33,0.02,28,0.01,35,0.03,83.33,0.02,83.33,0.03,32.56,0.04,34.29,0.03,0,0,23.19,0.03,23.91,0.03,66.67,0.02,27.08,0.01,24.53,0.03,57.14,0.02,36.84,0.02,15.38,0.01,62.5,0.02,35.48,0.02,36.36,0.02,0,0,38.89,0.01,27.57,0.12,27.91,0.01,47.37,0.02,0,0,33.33,0.03,33.33,0.02,0,0,32,0.02,31.25,0.03,40,0.01,0,0,40,0.02,0,0,0,0,40,0.02,33.33,0.02,0,0,66.67,0.03,0,0,0,0,0,0,30,0.02,0,0,0,0,22.73,0.03,0,0,15.38,0.01,24.14,0.02,40,0.02,0,0,0,0,66.67,0.02,20.45,0.02,25.58,0.02,27.45,0.02,0,0,50,0.03,47.06,0.01,26.67,0.02,37.5,0.03,0,0,0,0,0,0,40,0.02,31.82,0.02,35.71,0.02,0,0,25.4,0.02,46.15,0.02
44.44,0.02,27.27,0.02,0,0,33.33,0.01,36.36,0.03,0,0,27.27,0.01,40,0.02,30.59,0.06,0,0,33.33,0.03,28,0.01,35,0.03,83.33,0.02,83.33,0.03,39.02,0.04,50,0.03,0,0,20,0.03,24.07,0.03,66.67,0.02,27.08,0.01,24.53,0.03,57.14,0.02,36.84,0.02,0,0,71.43,0.02,35.48,0.03,36.36,0.02,0,0,38.89,0.01,27.57,0.13,27.91,0.01,47.37,0.02,55.56,0.01,33.33,0.03,33.33,0.03,25.69,0.01,33.33,0.02,42.86,0.03,71.43,0.01,0,0,40,0.02,0,0,0,0,40,0.02,33.33,0.02,0,0,0,0,0,0,0,0,0,0,30,0.02,0,0,0,0,22.73,0.03,0,0,0,0,24.14,0.03,40,0.02,0,0,0,0,66.67,0.02,0,0,25.58,0.02,27.45,0.02,0,0,50,0.03,47.06,0.01,26.67,0.02,50,0.03,0,0,0,0,36.36,0.02,40,0.02,31.82,0.02,35.71,0.02,0,0,23.88,0.02,46.15,0.02
0,0,40.91,0.03,0,0,21.21,0.01,0,0,46.15,0.01,0,0,25,0.02,30.94,0.09,0,0,40,0.03,24.39,0.01,28.85,0.03,0,0,20.83,0.03,0,0,33.33,0.03,0,0,22.67,0.04,0,0,0,0,46.67,0.01,0,0,71.43,0.02,27.78,0.02,0,0,35.14,0.03,0,0,32.43,0.03,0,0,42.86,0.01,29.36,0.2,37.5,0.01,30.43,0.02,0,0,0,0,23.4,0.04,34.38,0.01,62.5,0.02,28.21,0.04,50,0.02,27.59,0.02,38.46,0.02,40,0.02,0,0,44.44,0.02,27.5,0.02,100,0.01,0,0,0,0,45.45,0.03,46.67,0.02,25.71,0.02,17.78,0.02,0,0,36.36,0.02,27.27,0.02,0,0,33.33,0.02,0,0,26.09,0.02,16.67,0.03,35.29,0.02,25.61,0.02,0,0,54.55,0.02,0,0,50,0.03,32.43,0.01,39.13,0.02,0,0,35.29,0.01,0,0,30.77,0.03,0,0,25.64,0.02,66.67,0.02,40,0.02,30,0.03,18.92,0.01
0,0,40.91,0.03,0,0,21.21,0.01,0,0,46.15,0.01,0,0,25,0.02,30.94,0.09,0,0,40,0.03,24.39,0.01,28.85,0.03,0,0,20.83,0.02,0,0,33.33,0.03,0,0,22.67,0.04,0,0,0,0,46.67,0.01,0,0,71.43,0.02,27.78,0.02,0,0,35.14,0.03,0,0,32.43,0.03,0,0,42.86,0.01,29.36,0.19,37.5,0.01,30.43,0.02,0,0,0,0,23.4,0.04,34.38,0.01,62.5,0.02,28.21,0.04,50,0.02,27.59,0.02,38.46,0.02,40,0.02,0,0,44.44,0.02,27.5,0.02,100,0.01,0,0,0,0,45.45,0.03,46.67,0.02,25.71,0.02,17.78,0.02,0,0,40,0.03,27.27,0.02,0,0,33.33,0.02,0,0,26.09,0.02,16.67,0.03,35.29,0.02,26.83,0.02,0,0,54.55,0.02,0,0,50,0.03,32.43,0.01,39.13,0.02,0,0,35.29,0.01,0,0,30.77,0.03,0,0,25.64,0.02,66.67,0.02,40,0.02,30,0.03,18.92,0.01
0,0,40.91,0.03,0,0,21.21,0.01,0,0,46.15,0.01,0,0,25,0.02,30.94,0.09,0,0,40,0.03,24.39,0.01,28.85,0.03,0,0,20.83,0.03,0,0,33.33,0.03,0,0,22.67,0.04,0,0,0,0,46.67,0.01,0,0,71.43,0.02,26.47,0.02,0,0,35.14,0.03,0,0,32.43,0.03,0,0,42.86,0.01,29.36,0.2,37.5,0.01,30.43,0.02,0,0,0,0,23.4,0.04,34.38,0.01,62.5,0.02,28.21,0.04,50,0.02,27.59,0.02,38.46,0.02,40,0.02,0,0,44.44,0.02,27.5,0.02,100,0.01,0,0,0,0,45.45,0.03,46.67,0.02,25.71,0.02,17.78,0.02,0,0,36.36,0.02,27.27,0.02,0,0,33.33,0.02,0,0,26.09,0.02,16.67,0.03,35.29,0.02,26.83,0.02,0,0,54.55,0.02,0,0,50,0.03,32.43,0.01,39.13,0.02,0,0,35.29,0.01,0,0,30.77,0.03,0,0,25.64,0.02,66.67,0.02,40,0.02,30,0.03,18.92,0.01
0,0,38.46,0.03,33.33,0.03,26.47,0.01,0,0,30.51,0.01,0,0,29.17,0.02,24.74,0.01,58.33,0.01,31.58,0.03,47.37,0.01,55.56,0.02,50,0.02,0,0,57.14,0.03,60,0.03,0,0,0,0,41.67,0.02,57.14,0.02,30,0.01,26.92,0.02,0,0,0,0,21.74,0.01,0,0,33.33,0.02,0,0,0,0,66.67,0.02,0,0,0,0,29.17,0.02,0,0,40,0.03,37.5,0.03,0,0,0,0,0,0,0,0,25,0.03,0,0,25.45,0.03,75,0.01,33.33,0.02,25,0.02,32,0.01,0,0,0,0,22.5,0.02,23.94,0.02,31.82,0.02,71.43,0.02,33.33,0.03,30.43,0.04,0,0,21.74,0.01,42.86,0.03,32.43,0.02,16.39,0.02,41.67,0.03,25,0.02,26.32,0.02,0,0,22.86,0.02,0,0,0,0,0,0,55.56,0.02,46.15,0.04,47.06,0.01,21.52,0.03,41.67,0.02,45,0.03,62.5,0.02,50,0.02,35.29,0.02,44.44,0.02,33.33,0.01
0,0,38.46,0.03,33.33,0.03,26.47,0.01,0,0,30.51,0.01,0,0,29.17,0.02,24.74,0.01,58.33,0.01,31.58,0.03,47.37,0.01,55.56,0.02,50,0.02,0,0,57.14,0.03,60,0.03,0,0,0,0,41.67,0.02,57.14,0.02,30,0.01,26.92,0.02,0,0,0,0,21.74,0.01,0,0,33.33,0.02,0,0,0,0,66.67,0.02,0,0,0,0,29.17,0.02,0,0,40,0.03,37.5,0.03,0,0,0,0,0,0,0,0,25,0.03,0,0,25.45,0.03,75,0.01,33.33,0.02,25,0.02,32,0.01,0,0,0,0,22.5,0.02,23.94,0.02,31.82,0.02,71.43,0.02,33.33,0.03,30.43,0.04,0,0,21.74,0.01,42.86,0.03,32.43,0.02,16.39,0.02,41.67,0.03,25,0.02,26.32,0.02,0,0,22.86,0.02,0,0,0,0,0,0,55.56,0.02,46.15,0.04,47.06,0.01,21.52,0.03,41.67,0.02,45,0.03,62.5,0.02,50,0.02,35.29,0.02,44.44,0.02,33.33,0.01
0,0,26.67,0.03,33.33,0.03,26.47,0.01,0,0,0,0,0,0,29.17,0.02,24.74,0.01,58.33,0.01,31.58,0.03,47.37,0.01,55.56,0.02,50,0.02,0,0,57.14,0.03,60,0.03,0,0,0,0,41.67,0.02,57.14,0.02,30,0.01,27.27,0.03,0,0,0,0,50,0.01,0,0,23.81,0.02,0,0,0,0,66.67,0.02,0,0,0,0,29.17,0.02,0,0,40,0.03,37.5,0.03,0,0,0,0,0,0,0,0,25,0.03,0,0,25.45,0.03,75,0.01,33.33,0.02,25,0.02,32,0.01,0,0,0,0,22.5,0.02,26.83,0.02,31.82,0.02,71.43,0.02,33.33,0.03,30.43,0.04,0,0,50,0.01,42.86,0.03,32.43,0.02,0,0,41.67,0.03,25,0.02,26.32,0.02,0,0,22.86,0.02,0,0,0,0,0,0,55.56,0.02,46.15,0.04,47.06,0.01,21.52,0.03,41.67,0.02,45,0.03,62.5,0.02,50,0.02,0,0,44.44,0.02,33.33,0.01
0,0,62.5,0.01,41.67,0.01,36.11,0.01,29.41,0.01,0,0,0,0,0,0,38.64,0.01,0,0,50,0.02,0,0,21.67,0.01,0,0,83.33,0.01,34.62,0.01,0,0,0,0,0,0,63.16,0.02,0,0,47.83,0.01,43.33,0.02,0,0,0,0,0,0,22.92,0.01,0,0,47.37,0.01,0,0,43.75,0.01,0,0,0,0,32.84,0.01,0,0,28.57,0.02,39.29,0.02,0,0,0,0,0,0,29.63,0.01,0,0,0,0,32,0.01,0,0,0,0,30.43,0.01,86.31,0.87,32.14,0.01,0,0,31.58,0.01,0,0,27.27,0.01,62.5,0.01,33.33,0.01,26.47,0.01,66.67,0.01,0,0,50,0.01,0,0,34.62,0.01,0,0,27.03,0.01,18.29,0.01,0,0,0,0,60,0.01,40,0.01,0,0,40,0.01,0,0,0,0,0,0,30.77,0.01,38.71,0.02,27.5,0.01,46.15,0.01,50,0.01,36.36,0.01,23.66,0.01
0,0,62.5,0.01,41.67,0.01,36.11,0.01,29.41,0.01,0,0,0,0,0,0,38.64,0.01,0,0,50,0.02,0,0,21.67,0.01,0,0,83.33,0.01,34.62,0.01,0,0,0,0,0,0,63.16,0.02,0,0,47.83,0.01,43.33,0.02,0,0,0,0,0,0,22.92,0.01,0,0,47.37,0.01,0,0,43.75,0.01,0,0,0,0,32.84,0.01,0,0,28.57,0.02,39.29,0.02,0,0,0,0,0,0,29.63,0.01,0,0,0,0,32,0.01,0,0,0,0,30.43,0.01,86.31,0.87,32.14,0.01,0,0,31.58,0.01,0,0,27.27,0.01,62.5,0.01,33.33,0.01,26.47,0.01,66.67,0.01,0,0,50,0.01,0,0,34.62,0.01,0,0,27.03,0.01,18.29,0.01,0,0,0,0,60,0.01,40,0.01,0,0,40,0.01,0,0,0,0,0,0,30.77,0.01,38.71,0.02,27.5,0.01,46.15,0.01,50,0.01,36.36,0.01,23.66,0.01
0,0,62.5,0.01,41.67,0.01,36.11,0.01,29.41,0.01,0,0,0,0,0,0,38.64,0.01,0,0,50,0.02,0,0,21.67,0.01,0,0,83.33,0.01,34.62,0.01,0,0,0,0,0,0,63.16,0.02,0,0,47.83,0.01,43.33,0.02,0,0,0,0,0,0,22.92,0.01,0,0,47.37,0.01,0,0,43.75,0.01,0,0,0,0,32.84,0.01,0,0,28.57,0.02,39.29,0.02,0,0,0,0,0,0,29.63,0.01,0,0,0,0,32,0.01,0,0,0,0,30.43,0.01,86.31,0.87,32.14,0.01,0,0,31.58,0.01,0,0,27.27,0.01,62.5,0.01,33.33,0.01,26.47,0.01,66.67,0.01,0,0,50,0.01,0,0,34.62,0.01,0,0,27.03,0.01,18.29,0.01,0,0,0,0,60,0.01,40,0.01,0,0,40,0.01,0,0,0,0,0,0,30.77,0.01,38.71,0.02,27.5,0.01,46.15,0.01,50,0.01,36.36,0.01,23.66,0.01
45,0.03,0,0,25,0.03,0,0,18.87,0.03,0,0,0,0,36.84,0.02,0,0,25,0.01,0,0,0,0,28.33,0.03,0,0,18.52,0.02,40.91,0.03,30,0.03,0,0,33.33,0.03,0,0,0,0,0,0,44.44,0.03,45.45,0.03,31.82,0.02,0,0,0,0,45.45,0.02,0,0,0,0,0,0,57.14,0.02,30.23,0.01,41.18,0.02,45.45,0.01,38.46,0.04,0,0,42.11,0.01,0,0,25.81,0.03,0,0,44.44,0.03,29.27,0.02,36,0.02,50,0.01,38.1,0.02,0,0,0,0,66.67,0.03,0,0,24.68,0.04,0,0,26.32,0.02,0,0,29.17,0.04,0,0,40,0.02,0,0,0,0,42.86,0.02,50,0.02,50,0.03,44.44,0.02,50,0.02,0,0,18.18,0.02,0,0,33.33,0.03,0,0,45.45,0.02,42.86,0.03,40,0.01,0,0,37.5,0.03,0,0,54.55,0.02,25.37,0.02,43.75,0.02,42.86,0.03,0,0
45,0.03,0,0,25,0.03,0,0,18.87,0.03,0,0,0,0,36.84,0.02,0,0,25,0.01,0,0,0,0,28.33,0.03,0,0,18.52,0.02,40.91,0.03,30,0.03,0,0,33.33,0.03,0,0,0,0,0,0,44.44,0.03,45.45,0.03,31.82,0.02,0,0,0,0,45.45,0.02,0,0,0,0,71.43,0.01,57.14,0.02,30.23,0.01,41.18,0.02,45.45,0.01,38.46,0.04,0,0,42.11,0.01,0,0,25.81,0.03,0,0,44.44,0.03,29.27,0.02,36,0.02,50,0.01,38.1,0.02,0,0,0,0,66.67,0.03,0,0,24.68,0.04,0,0,26.32,0.02,0,0,29.17,0.04,0,0,40,0.02,0,0,0,0,42.86,0.02,50,0.02,50,0.03,44.44,0.02,50,0.02,0,0,18.18,0.02,0,0,33.33,0.03,0,0,45.45,0.02,42.86,0.03,40,0.01,0,0,37.5,0.03,0,0,54.55,0.02,25.37,0.02,43.75,0.02,42.86,0.03,0,0
45,0.03,0,0,25,0.03,0,0,18.87,0.03,0,0,0,0,36.84,0.02,0,0,25,0.01,0,0,0,0,28.33,0.03,0,0,18.52,0.02,40.91,0.03,30,0.03,0,0,33.33,0.03,0,0,0,0,0,0,44.44,0.03,45.45,0.03,31.82,0.02,0,0,0,0,45.45,0.02,0,0,0,0,0,0,57.14,0.02,30.23,0.01,41.18,0.02,45.45,0.01,38.46,0.04,0,0,42.11,0.01,0,0,25.81,0.03,0,0,44.44,0.03,29.27,0.02,36,0.02,50,0.01,38.1,0.02,0,0,0,0,66.67,0.03,0,0,24.68,0.04,0,0,26.32,0.02,0,0,29.17,0.04,0,0,40,0.02,0,0,0,0,42.86,0.02,50,0.02,50,0.03,44.44,0.02,50,0.02,0,0,18.18,0.02,0,0,33.33,0.03,0,0,45.45,0.02,42.86,0.03,40,0.01,0,0,37.5,0.03,0,0,54.55,0.02,25.37,0.02,43.75,0.02,42.86,0.03,0,0
26.92,0.02,71.43,0.03,0,0,28.95,0.01,50,0.03,29.69,0.02,0,0,39.39,0.03,40,0.01,0,0,24.49,0.03,46.67,0.01,50,0.03,0,0,22.54,0.03,23.08,0.04,28.21,0.03,0,0,0,0,25.53,0.02,0,0,23.29,0.01,32,0.03,0,0,40.91,0.02,20,0.01,45,0.02,0,0,55.56,0.02,0,0,40,0.01,35.71,0.02,0,0,31.58,0.02,0,0,0,0,27.91,0.02,23.53,0.01,31.03,0.02,0,0,27.91,0.02,21.74,0.03,46.15,0.02,0,0,31.82,0.01,33.33,0.02,35,0.02,39.13,0.01,0,0,0,0,33.33,0.02,0,0,23.86,0.02,0,0,100,0.03,83.33,0.03,41.67,0.03,20,0.01,27.66,0.03,46.15,0.02,36,0.02,33.33,0.03,32,0.03,0,0,0,0,34.69,0.02,0,0,54.55,0.03,0,0,34.78,0.02,0,0,0,0,26.74,0.04,43.75,0.03,36.36,0.02,46.15,0.02,33.33,0.02,50,0.03,46.15,0.02,27.59,0.02
26.92,0.02,71.43,0.03,0,0,28.95,0.01,50,0.03,29.69,0.02,0,0,39.39,0.03,40,0.01,0,0,24.49,0.03,46.67,0.01,50,0.03,0,0,22.54,0.03,23.08,0.04,28.21,0.03,0,0,0,0,25.53,0.02,0,0,23.29,0.01,32,0.03,0,0,40.91,0.02,20,0.01,45,0.02,0,0,55.56,0.02,0,0,40,0.01,35.71,0.02,0,0,31.58,0.02,0,0,0,0,27.91,0.02,23.53,0.01,31.03,0.02,0,0,27.91,0.02,21.74,0.03,46.15,0.02,0,0,31.82,0.01,33.33,0.02,35,0.02,39.13,0.01,0,0,0,0,33.33,0.02,0,0,23.86,0.02,0,0,100,0.03,83.33,0.03,41.67,0.03,20,0.01,27.66,0.03,46.15,0.02,36,0.02,33.33,0.03,32,0.03,0,0,0,0,34.69,0.02,0,0,54.55,0.03,0,0,34.78,0.02,0,0,0,0,26.74,0.04,43.75,0.03,36.36,0.02,46.15,0.02,33.33,0.02,50,0.03,46.15,0.02,27.59,0.02
26.92,0.01,71.43,0.02,0,0,0,0,36,0.02,29.69,0.01,0,0,39.39,0.02,0,0,0,0,24.49,0.02,46.67,0.01,50,0.02,0,0,20.59,0.02,38.89,0.02,28.21,0.02,0,0,0,0,25.53,0.02,0,0,23.81,0.01,32,0.02,0,0,34.62,0.02,0,0,45,0.02,0,0,0,0,0,0,0,0,35.71,0.02,0,0,31.58,0.01,0,0,0,0,0,0,23.53,0.01,31.03,0.02,0,0,27.91,0.01,0,0,0,0,0,0,31.82,0.01,33.33,0.02,31.82,0.01,0,0,0,0,0,0,0,0,0,0,23.86,0.01,0,0,24.39,0.02,83.33,0.02,41.67,0.02,0,0,27.66,0.02,0,0,36,0.01,50,0.02,32,0.02,0,0,0,0,0,0,0,0,54.55,0.02,0,0,34.78,0.02,0,0,0,0,26.74,0.02,43.75,0.02,36.36,0.02,46.15,0.01,33.33,0.01,50,0.02,46.15,0.01,27.59,0.01
0,0,0,0,41.18,0.03,0,0,47.06,0.05,41.18,0.01,28.75,0.01,47.37,0.02,99.66,0.42,62.5,0.01,0,0,26.09,0.01,35,0.03,53.85,0.03,17.86,0.04,30.95,0.03,20.69,0.03,0,0,0,0,71.43,0.02,28.26,0.02,22.58,0.01,80,0.02,28,0.03,28,0.02,0,0,25.49,0.03,0,0,37.5,0.03,22.92,0.01,40.91,0.02,37.42,0.28,25.64,0.01,30.23,0.03,0,0,0,0,0,0,62.5,0.01,46.15,0.02,0,0,41.18,0.01,83.33,0.03,0,0,55.56,0.02,0,0,66.67,0.02,0,0,29.55,0.02,50,0.03,66.67,0.03,20,0.03,40,0.02,0,0,62.5,0.02,44.44,0.03,53.85,0.04,71.43,0.03,0,0,50,0.02,0,0,37.5,0.02,24.32,0.02,26.47,0.03,22.86,0.02,26.92,0.02,0,0,27.08,0.03,57.14,0.02,60,0.01,24.14,0.02,0,0,0,0,41.67,0.02,25.93,0.02,46.67,0.03,41.67,0.02,33.33,0.02,26.15,0.02,50,0.03,47.37,0.02
0,0,0,0,41.18,0.04,30,0.01,47.06,0.05,41.18,0.02,28.75,0.01,46.15,0.02,98.99,0.41,62.5,0.01,0,0,26.09,0.01,35,0.03,53.85,0.03,17.86,0.04,30.95,0.03,20.69,0.03,0,0,0,0,71.43,0.02,28.26,0.02,22.58,0.01,80,0.02,28,0.03,28,0.02,0,0,53.85,0.03,0,0,37.5,0.03,22.92,0.01,40.91,0.02,37.46,0.28,25.64,0.01,30.23,0.03,0,0,0,0,0,0,29.27,0.01,50,0.02,0,0,41.18,0.01,83.33,0.03,0,0,55.56,0.02,0,0,66.67,0.02,0,0,29.55,0.02,50,0.03,66.67,0.03,20.93,0.03,40,0.02,0,0,62.5,0.02,44.44,0.04,53.85,0.04,71.43,0.03,0,0,50,0.02,0,0,21.21,0.02,31.25,0.02,26.47,0.03,22.86,0.02,26.92,0.02,0,0,27.08,0.03,57.14,0.03,60,0.01,24.14,0.03,0,0,0,0,41.67,0.03,25.93,0.02,46.67,0.03,41.67,0.02,33.33,0.02,26.15,0.02,50,0.03,47.37,0.02
0,0,0,0,43.75,0.04,30,0.01,24,0.05,41.18,0.01,28.75,0.01,47.37,0.02,94.93,0.39,62.5,0.01,0,0,26.09,0.01,35,0.03,53.85,0.03,16.09,0.04,30.95,0.03,20.69,0.03,0,0,0,0,71.43,0.02,28.26,0.02,22.58,0.01,80,0.03,28,0.03,38.89,0.02,0,0,53.85,0.03,43.75,0.02,37.5,0.03,22.92,0.01,40.91,0.01,37.37,0.28,21.95,0.01,26.32,0.03,0,0,0,0,0,0,21.31,0.01,46.15,0.02,0,0,50,0.01,83.33,0.03,0,0,55.56,0.02,0,0,66.67,0.02,0,0,25.76,0.02,50,0.03,66.67,0.03,26.09,0.03,40,0.02,0,0,55.56,0.02,44.44,0.04,53.85,0.04,71.43,0.03,0,0,50,0.02,50,0.02,23.08,0.02,0,0,25.93,0.03,50,0.02,26.92,0.02,0,0,27.08,0.03,57.14,0.03,60,0.01,34.78,0.03,0,0,0,0,41.67,0.03,25.93,0.02,28.07,0.03,41.67,0.02,35.29,0.02,26.15,0.02,50,0.03,35.71,0.01
46.15,0.02,35.71,0.03,30.77,0.03,53.85,0.01,26.67,0.03,41.18,0.01,0,0,36.36,0.02,57.14,0.01,0,0,26.92,0.03,0,0,33.33,0.03,33.33,0.02,30.77,0.03,0,0,30,0.03,0,0,0,0,58.33,0.03,66.67,0.02,38.89,0.01,22.22,0.03,25.93,0.02,0,0,44.44,0.01,40.91,0.02,0,0,0,0,0,0,83.33,0.01,41.67,0.02,26.42,0.01,21.05,0.02,62.5,0.01,50,0.04,0,0,27.59,0.01,0,0,62.5,0.03,38.89,0.01,41.67,0.03,22.73,0.02,19.15,0.02,28.57,0.01,25,0.02,62.5,0.02,0,0,30,0.04,23.81,0.03,33.33,0.03,23.08,0.02,35.71,0.02,45.45,0.02,24.24,0.03,28.12,0.04,34.15,0.03,44.44,0.01,27.03,0.03,66.67,0.02,0,0,54.55,0.03,50,0.03,0,0,31.03,0.02,42.86,0.02,0,0,0,0,28.85,0.01,34.21,0.04,25,0.03,23.33,0.01,41.67,0.03,36.36,0.02,28.21,0.03,37.93,0.02,26.76,0.02,0,0,66.67,0.02,100,0.01
46.15,0.02,35.71,0.03,30.77,0.03,54.55,0.01,26.67,0.03,41.18,0.01,0,0,36.36,0.02,57.14,0.01,0,0,26.92,0.03,0,0,33.33,0.03,0,0,30.77,0.03,0,0,30,0.03,0,0,0,0,58.33,0.03,66.67,0.02,38.89,0.01,22.22,0.03,25.93,0.02,0,0,44.44,0.01,40.91,0.02,0,0,0,0,0,0,83.33,0.01,41.67,0.02,26.42,0.01,21.05,0.02,62.5,0.01,50,0.04,0,0,27.59,0.01,0,0,62.5,0.03,38.89,0.01,41.67,0.03,22.73,0.02,19.15,0.02,28.57,0.01,25,0.02,62.5,0.02,0,0,30,0.04,23.81,0.03,33.33,0.03,21.05,0.02,35.71,0.02,45.45,0.02,24.24,0.03,28.12,0.04,34.15,0.03,44.44,0.01,27.03,0.03,66.67,0.02,0,0,54.55,0.03,50,0.03,0,0,31.03,0.02,42.86,0.02,0,0,0,0,28.85,0.01,34.21,0.04,25,0.03,23.33,0.01,41.67,0.03,36.36,0.02,28.21,0.03,37.93,0.02,26.76,0.02,0,0,66.67,0.02,100,0.01
